experiment	biosample	pl_reads	mn_reads	total_reads
ENCSR321WCE	neural crest cell	18358744	18140318	36499062
ENCSR357VUN	ovary	42775018	42895612	85670630
ENCSR393PGX	breast epithelium	7273495	7148872	14422367
ENCSR489BCG	pancreas	16751628	16491643	33243271
ENCSR243MVI	liver	3650765	3659345	7310110
ENCSR104MSL	pancreas	8003230	7921625	15924855
ENCSR928ZWP	lower leg skin	16358801	16223756	32582557
ENCSR331UGM	liver	25809699	25873850	51683549
ENCSR149WMX	Metastatic Liver Carcinoma in the Lung	10041076	9983443	20024519
ENCSR633OWM	pulmonary lymph node	15908233	15828260	31736493
ENCSR384HWB	ascending aorta	5311053	5191447	10502500
ENCSR347PQY	upper lobe of left lung	9758696	9813768	19572464
ENCSR335ZMZ	OCI-LY7	9604955	9559605	19164560
ENCSR657RPS	uterus	13811824	13782224	27594048
ENCSR149ZRX	K562	5687168	5529695	11216863
ENCSR834OVY	peripheral blood mononuclear cell	14431245	14291395	28722640
ENCSR262PWK	type B pancreatic cell	10415317	10175176	20590493
ENCSR300AAD	Metastatic Liver Carcinoma in the Adrenal Gland	5324312	5423378	10747690
ENCSR900SLO	HCT116	19826257	19646586	39472843
ENCSR687HZX	Metastatic Breast Carcinoma in the Brain	25966959	25917864	51884823
ENCSR997YHR	lung	3885366	3770140	7655506
ENCSR744JVA	pancreas	17943314	17609472	35552786
ENCSR338WJS	pancreas	16806356	16556327	33362683
ENCSR407CCJ	cerebellum	3358206	3478325	6836531
ENCSR155NVW	penis	11794123	11591903	23386026
ENCSR305RPP	testis	15383610	15368061	30751671
ENCSR290MPW	heart left ventricle	14591287	14408222	28999509
ENCSR219NJB	spleen	26839803	27080278	53920081
ENCSR219QKX	heart right ventricle	12176402	12140285	24316687
ENCSR656ZDH	heart left ventricle	15160113	15083411	30243524
ENCSR065NDB	T-cell	14413931	14317643	28731574
ENCSR769SLJ	transverse colon	20451415	20077640	40529055
ENCSR069DQH	cytotoxic T cell	20673261	20577567	41250828
ENCSR617JRP	Metastatic Breast Carcinoma in the Ovary	10273763	10205708	20479471
ENCSR100PNA	paraaortic lymph node	15472725	15342014	30814739
ENCSR065QHA	left lobe of liver	15221015	15064622	30285637
ENCSR233GRN	bronchus	18464442	18336495	36800937
ENCSR997INZ	right atrium auricular region	18677406	18581491	37258897
ENCSR431MXP	thyroid gland	16339496	16181976	32521472
ENCSR255MUU	progenitor cell of endocrine pancreas	13854735	13624071	27478806
ENCSR673CJC	Metastatic Lung Carcinoma in the Adrenal Gland	9027296	8942767	17970063
ENCSR946MDO	gastroesophageal sphincter	15912618	15827697	31740315
ENCSR841GXY	monocyte	15293249	14685774	29979023
ENCSR296XBI	T-cell	17096353	16992460	34088813
ENCSR072JHG	liver	15374783	15340261	30715044
ENCSR883HAT	uterus	17955212	17847493	35802705
ENCSR360MUR	HCT116	20753793	20496400	41250193
ENCSR871CUV	HCT116	13846001	13666830	27512831
ENCSR676YGJ	heart left ventricle	16110665	15922311	32032976
ENCSR571OAW	mesothelial cell of epicardium	2819612	2728969	5548581
ENCSR632XIZ	skeletal muscle tissue	7666351	7521716	15188067
ENCSR179FHG	sigmoid colon	3202815	3120987	6323802
ENCSR246YHR	esophagus muscularis mucosa	21375172	21286948	42662120
ENCSR353ZXW	SP-49	3258200	3180257	6438457
ENCSR845LKT	right lobe of liver	15448618	15367876	30816494
ENCSR794VAJ	sciatic nerve	27824448	27694434	55518882
ENCSR610POV	Metastatic Breast Carcinoma in the Brain	13493039	13347890	26840929
ENCSR220OLX	left colon	13818491	13588311	27406802
ENCSR966RLG	HCT116	4524985	4455598	8980583
ENCSR342WAR	neuron	25178368	24747047	49925415
ENCSR956DBV	suprapubic skin	6192622	6018422	12211044
ENCSR482XCK	ovary	38705970	38051894	76757864
ENCSR516KII	astrocyte	5380616	5325461	10706077
ENCSR280NVT	vagina	22513313	22530275	45043588
ENCSR245HPE	psoas muscle	7629451	7630450	15259901
ENCSR889QVM	ovary	14127307	14206260	28333567
ENCSR712UDA	peripheral blood mononuclear cell	12155698	12045172	24200870
ENCSR926PFT	omental fat pad	359387	348789	708176
ENCSR679CMZ	testis	14939053	14798064	29737117
ENCSR642TRG	tibial artery	15078456	14982218	30060674
ENCSR723NVI	T-cell	10127665	9994659	20122324
ENCSR175VMO	Metastatic Pancreatic Carcinoma in the Ovary	9024520	8776136	17800656
ENCSR718AQM	HCT116	5672242	5545962	11218204
ENCSR516YGD	adrenal gland	19653071	19228498	38881569
ENCSR015HKC	uterus	20260009	20423889	40683898
ENCSR359PWL	H9	26309892	25827092	52136984
ENCSR845TMF	prostate gland	21465227	21536700	43001927
ENCSR222JNI	endothelial cell	25656162	25405458	51061620
ENCSR216FUJ	Metastatic Breast Carcinoma in the Brain	15648996	15317759	30966755
ENCSR889PCF	bile duct	15433228	15408599	30841827
ENCSR153AON	esophagus squamous epithelium	22523414	22302170	44825584
ENCSR436JXW	Metastatic Breast Carcinoma in the Brain	6185623	6232187	12417810
ENCSR660UDB	kidney	15227345	15071967	30299312
ENCSR235BZZ	gastrocnemius medialis	14339443	14285313	28624756
ENCSR216UNW	lower lobe of left lung	19993181	19575197	39568378
ENCSR813CRU	Metastatic Breast Carcinoma in the Brain	13662570	13470880	27133450
ENCSR829KWG	natural killer cell	12691822	12548309	25240131
ENCSR380VKC	heart right ventricle	14796671	14549574	29346245
ENCSR220XSM	K562	22171427	21930403	44101830
ENCSR733DAS	HEK293T	33559859	33720487	67280346
ENCSR269FMG	liver	15824525	15640841	31465366
ENCSR995FAO	mucosa of descending colon	16105129	15881790	31986919
ENCSR443GRP	endodermal cell	17221162	16947883	34169045
ENCSR881RXX	anterior vena cava	10590010	10378529	20968539
ENCSR944DTY	SEM	16345322	16100426	32445748
ENCSR270EGA	left cardiac atrium	9700394	9600925	19301319
ENCSR368ARY	pulmonary artery	6845863	6658725	13504588
ENCSR521BLL	psoas muscle	7639494	7695919	15335413
ENCSR062QYF	cerebellum	23591993	23800540	47392533
ENCSR526XOQ	NALM6	17752759	17677095	35429854
ENCSR386UFU	peripheral blood mononuclear cell	11792912	11604646	23397558
ENCSR795NHV	peripheral blood mononuclear cell	5140752	5101656	10242408
ENCSR255VLW	jejunum	15334201	15064779	30398980
ENCSR087CGY	ovary	21159777	21318517	42478294
ENCSR374RDU	breast	10287080	10304383	20591463
ENCSR219IHS	A549	4575957	4482460	9058417
ENCSR683YIA	Pfeiffer	12466761	12456240	24923001
ENCSR810UBG	Metastatic Breast Carcinoma in the Ovary	13260645	13310089	26570734
ENCSR959JOB	right ventricle myocardium	14651837	14547991	29199828
ENCSR431OQI	parotid gland	7157674	7258828	14416502
ENCSR353JON	spinal cord	112859	114433	227292
ENCSR374OGG	pancreas	16096336	15798564	31894900
ENCSR528FMA	helper T cell	26238050	26053709	52291759
ENCSR500IHG	breast	11208000	10996778	22204778
ENCSR098LLB	endothelial cell of umbilical vein	15692384	15581835	31274219
ENCSR046BCI	A673	18257871	17978342	36236213
ENCSR935RNW	Calu3	23221800	22848269	46070069
ENCSR799DGV	MCF 10A	46145728	46257993	92403721
ENCSR261KBX	K562	9605200	9505498	19110698
ENCSR100LIJ	Caco-2	21378407	21184659	42563066
