experiment	biosample	overall_flag	read_flag	is_perturbation	is_perturbation_treated	is_perturbation_untreated	is_uncapped	flags	total_reads	pl_reads	mn_reads	perturbation_keywords	perturbation_fields	treatment_keywords	treatment_fields	uncapped_fields	reasons
ENCSR983JFU	REH cell	green	green	false	false	false	false	green	47563388	23828774	23734614		{}		{}	{}	
ENCSR644TYW	Colon Carcinoma Metastatic in the Brain	red	red	false	false	false	false	red_low_reads	8884275	4465900	4418375		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 8,884,275 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 8884275}]"
ENCSR542IVL	testis	green	green	false	false	false	false	green	31719145	15904632	15814513		{}		{}	{}	
ENCSR821MIF	spleen	green	green	false	false	false	false	green	20999179	10515610	10483569		{}		{}	{}	
ENCSR970ACM	adrenal gland	green	green	false	false	false	false	green	25789079	13091878	12697201		{}		{}	{}	
ENCSR484CAZ	cardiac septum	green	green	false	false	false	false	green	29330657	14777422	14553235		{}		{}	{}	
ENCSR074XYR	Colon Carcinoma Metastatic in the Brain	yellow	yellow	false	false	false	false	yellow_low_reads	13814019	6929194	6884825		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 13,814,019 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 13814019}]"
ENCSR636RVF	skeletal muscle tissue	green	green	false	false	false	false	green	29994334	14919780	15074554		{}		{}	{}	
ENCSR122BHP	colic lymph node	green	green	false	false	false	false	green	30452346	15258030	15194316		{}		{}	{}	
ENCSR282COG	gallbladder	green	green	false	false	false	false	green	30001955	15125994	14875961		{}		{}	{}	
ENCSR618ZHM	ileum	green	green	false	false	false	false	green	24214571	12221804	11992767		{}		{}	{}	
ENCSR940QKZ	ovary	green	green	false	false	false	false	green	55698910	27743506	27955404		{}		{}	{}	
ENCSR093JST	monocyte	green	green	false	false	false	false	green	28647463	14479519	14167944		{}		{}	{}	
ENCSR331QXJ	Colon Carcinoma Metastatic in the Lung	yellow	yellow	false	false	false	false	yellow_low_reads	12669641	6360063	6309578		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 12,669,641 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 12669641}]"
ENCSR575NNF	right lobe of liver	green	green	false	false	false	false	green	31210842	15695265	15515577		{}		{}	{}	
ENCSR915VCN	cerebral cortex	green	green	false	false	false	false	green	31802125	15870985	15931140		{}		{}	{}	
ENCSR766KPR	ovary	green	green	false	false	false	false	green	39031060	19463689	19567371		{}		{}	{}	
ENCSR399LAD	uterus	green	green	false	false	false	false	green	47772123	23837597	23934526		{}		{}	{}	
ENCSR756CCD	thyroid gland	green	green	false	false	false	false	green	40063640	20201961	19861679		{}		{}	{}	
