experiment	biosample	overall_flag	read_flag	is_perturbation	is_perturbation_treated	is_perturbation_untreated	is_uncapped	flags	total_reads	pl_reads	mn_reads	perturbation_keywords	perturbation_fields	treatment_keywords	treatment_fields	uncapped_fields	reasons
ENCSR407CCJ	cerebellum	red	red	false	false	false	false	red_low_reads	6836531	3358206	3478325		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 6,836,531 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 6836531}]"
ENCSR155NVW	penis	green	green	false	false	false	false	green	23386026	11794123	11591903		{}		{}	{}	
ENCSR305RPP	testis	green	green	false	false	false	false	green	30751671	15383610	15368061		{}		{}	{}	
ENCSR290MPW	heart left ventricle	green	green	false	false	false	false	green	28999509	14591287	14408222		{}		{}	{}	
ENCSR219NJB	spleen	green	green	false	false	false	false	green	53920081	26839803	27080278		{}		{}	{}	
ENCSR219QKX	heart right ventricle	green	green	false	false	false	false	green	24316687	12176402	12140285		{}		{}	{}	
ENCSR656ZDH	heart left ventricle	green	green	false	false	false	false	green	30243524	15160113	15083411		{}		{}	{}	
ENCSR065NDB	T-cell	green	green	false	false	false	false	green	28731574	14413931	14317643		{}		{}	{}	
ENCSR769SLJ	transverse colon	green	green	false	false	false	false	green	40529055	20451415	20077640		{}		{}	{}	
ENCSR069DQH	cytotoxic T cell	green	green	false	false	false	false	green	41250828	20673261	20577567		{}		{}	{}	
ENCSR617JRP	Metastatic Breast Carcinoma in the Ovary	green	green	false	false	false	false	green	20479471	10273763	10205708		{}		{}	{}	
ENCSR100PNA	paraaortic lymph node	green	green	false	false	false	false	green	30814739	15472725	15342014		{}		{}	{}	
ENCSR065QHA	left lobe of liver	green	green	false	false	false	false	green	30285637	15221015	15064622		{}		{}	{}	
ENCSR233GRN	bronchus	green	green	false	false	false	false	green	36800937	18464442	18336495		{}		{}	{}	
ENCSR997INZ	right atrium auricular region	green	green	false	false	false	false	green	37258897	18677406	18581491		{}		{}	{}	
ENCSR431MXP	thyroid gland	green	green	false	false	false	false	green	32521472	16339496	16181976		{}		{}	{}	
ENCSR255MUU	progenitor cell of endocrine pancreas	green	green	false	false	false	false	green	27478806	13854735	13624071		{}		{}	{}	
ENCSR673CJC	Metastatic Lung Carcinoma in the Adrenal Gland	yellow	yellow	false	false	false	false	yellow_low_reads	17970063	9027296	8942767		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 17,970,063 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 17970063}]"
ENCSR946MDO	gastroesophageal sphincter	green	green	false	false	false	false	green	31740315	15912618	15827697		{}		{}	{}	
ENCSR841GXY	monocyte	green	green	false	false	false	false	green	29979023	15293249	14685774		{}		{}	{}	
ENCSR296XBI	T-cell	green	green	false	false	false	false	green	34088813	17096353	16992460		{}		{}	{}	
ENCSR072JHG	liver	green	green	false	false	false	false	green	30715044	15374783	15340261		{}		{}	{}	
ENCSR883HAT	uterus	green	green	false	false	false	false	green	35802705	17955212	17847493		{}		{}	{}	
ENCSR360MUR	HCT116	green	green	true	false	true	false	perturbation_untreated	41250193	20753793	20496400	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
ENCSR871CUV	HCT116	green	green	true	true	false	false	perturbation_treated	27512831	13846001	13666830	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"	5-phenyl;indole-3-acetic acid;treated	"{""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}"	{}	"[{""fields"": {""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched active-treatment keywords: 5-phenyl, indole-3-acetic acid, treated"", ""rule"": ""metadata treatment keyword match""}]"
ENCSR676YGJ	heart left ventricle	green	green	false	false	false	false	green	32032976	16110665	15922311		{}		{}	{}	
ENCSR571OAW	mesothelial cell of epicardium	red	red	false	false	false	false	red_low_reads	5548581	2819612	2728969		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 5,548,581 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 5548581}]"
ENCSR632XIZ	skeletal muscle tissue	yellow	yellow	false	false	false	false	yellow_low_reads	15188067	7666351	7521716		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 15,188,067 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 15188067}]"
ENCSR179FHG	sigmoid colon	red	red	false	false	false	false	red_low_reads	6323802	3202815	3120987		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 6,323,802 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 6323802}]"
ENCSR246YHR	esophagus muscularis mucosa	green	green	false	false	false	false	green	42662120	21375172	21286948		{}		{}	{}	
ENCSR353ZXW	SP-49	red	red	false	false	false	false	red_low_reads	6438457	3258200	3180257		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 6,438,457 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 6438457}]"
ENCSR845LKT	right lobe of liver	green	green	false	false	false	false	green	30816494	15448618	15367876		{}		{}	{}	
ENCSR794VAJ	sciatic nerve	green	green	false	false	false	false	green	55518882	27824448	27694434		{}		{}	{}	
ENCSR610POV	Metastatic Breast Carcinoma in the Brain	green	green	false	false	false	false	green	26840929	13493039	13347890		{}		{}	{}	
ENCSR220OLX	left colon	green	green	false	false	false	false	green	27406802	13818491	13588311		{}		{}	{}	
ENCSR966RLG	HCT116	red	red	true	true	false	false	red_low_reads;perturbation_treated	8980583	4524985	4455598	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"	5-phenyl;indole-3-acetic acid;treated	"{""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}"	{}	"[{""flag"": ""red"", ""reason"": ""total reads 8,980,583 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 8980583}, {""fields"": {""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched active-treatment keywords: 5-phenyl, indole-3-acetic acid, treated"", ""rule"": ""metadata treatment keyword match""}]"
ENCSR342WAR	neuron	green	green	false	false	false	false	green	49925415	25178368	24747047		{}		{}	{}	
ENCSR956DBV	suprapubic skin	yellow	yellow	false	false	false	false	yellow_low_reads	12211044	6192622	6018422		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 12,211,044 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 12211044}]"
ENCSR482XCK	ovary	green	green	false	false	false	false	green	76757864	38705970	38051894		{}		{}	{}	
ENCSR516KII	astrocyte	yellow	yellow	false	false	false	false	yellow_low_reads	10706077	5380616	5325461		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 10,706,077 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 10706077}]"
ENCSR280NVT	vagina	green	green	false	false	false	false	green	45043588	22513313	22530275		{}		{}	{}	
ENCSR245HPE	psoas muscle	yellow	yellow	false	false	false	false	yellow_low_reads	15259901	7629451	7630450		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 15,259,901 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 15259901}]"
ENCSR889QVM	ovary	green	green	false	false	false	false	green	28333567	14127307	14206260		{}		{}	{}	
ENCSR712UDA	peripheral blood mononuclear cell	green	green	false	false	false	false	green	24200870	12155698	12045172		{}		{}	{}	
ENCSR926PFT	omental fat pad	red	red	false	false	false	false	red_low_reads	708176	359387	348789		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 708,176 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 708176}]"
ENCSR679CMZ	testis	green	green	false	false	false	false	green	29737117	14939053	14798064		{}		{}	{}	
ENCSR642TRG	tibial artery	green	green	false	false	false	false	green	30060674	15078456	14982218		{}		{}	{}	
ENCSR723NVI	T-cell	green	green	false	false	false	false	green	20122324	10127665	9994659		{}		{}	{}	
ENCSR175VMO	Metastatic Pancreatic Carcinoma in the Ovary	yellow	yellow	false	false	false	false	yellow_low_reads	17800656	9024520	8776136		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 17,800,656 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 17800656}]"
ENCSR718AQM	HCT116	yellow	yellow	true	true	false	false	yellow_low_reads;perturbation_treated	11218204	5672242	5545962	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"	5-phenyl;indole-3-acetic acid;treated	"{""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}"	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 11,218,204 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 11218204}, {""fields"": {""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched active-treatment keywords: 5-phenyl, indole-3-acetic acid, treated"", ""rule"": ""metadata treatment keyword match""}]"
ENCSR516YGD	adrenal gland	green	green	false	false	false	false	green	38881569	19653071	19228498		{}		{}	{}	
ENCSR015HKC	uterus	green	green	false	false	false	false	green	40683898	20260009	20423889		{}		{}	{}	
ENCSR359PWL	H9	green	green	false	false	false	false	green	52136984	26309892	25827092		{}		{}	{}	
ENCSR845TMF	prostate gland	green	green	false	false	false	false	green	43001927	21465227	21536700		{}		{}	{}	
ENCSR222JNI	endothelial cell	green	green	false	false	false	false	green	51061620	25656162	25405458		{}		{}	{}	
ENCSR216FUJ	Metastatic Breast Carcinoma in the Brain	green	green	false	false	false	false	green	30966755	15648996	15317759		{}		{}	{}	
ENCSR889PCF	bile duct	green	green	false	false	false	false	green	30841827	15433228	15408599		{}		{}	{}	
ENCSR153AON	esophagus squamous epithelium	green	green	false	false	false	false	green	44825584	22523414	22302170		{}		{}	{}	
ENCSR436JXW	Metastatic Breast Carcinoma in the Brain	yellow	yellow	false	false	false	false	yellow_low_reads	12417810	6185623	6232187		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 12,417,810 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 12417810}]"
ENCSR660UDB	kidney	green	green	false	false	false	false	green	30299312	15227345	15071967		{}		{}	{}	
ENCSR235BZZ	gastrocnemius medialis	green	green	false	false	false	false	green	28624756	14339443	14285313		{}		{}	{}	
ENCSR216UNW	lower lobe of left lung	green	green	false	false	false	false	green	39568378	19993181	19575197		{}		{}	{}	
ENCSR813CRU	Metastatic Breast Carcinoma in the Brain	green	green	false	false	false	false	green	27133450	13662570	13470880		{}		{}	{}	
ENCSR829KWG	natural killer cell	green	green	false	false	false	false	green	25240131	12691822	12548309		{}		{}	{}	
ENCSR380VKC	heart right ventricle	green	green	false	false	false	false	green	29346245	14796671	14549574		{}		{}	{}	
ENCSR220XSM	K562	green	green	false	false	false	false	green	44101830	22171427	21930403		{}		{}	{}	
ENCSR733DAS	HEK293T	green	green	true	true	false	false	perturbation_treated	67280346	33559859	33720487	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"	dtag;treated	"{""biosample_summary"": [""dtag"", ""treated""]}"	{}	"[{""fields"": {""biosample_summary"": [""dtag"", ""treated""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched active-treatment keywords: dtag, treated"", ""rule"": ""metadata treatment keyword match""}]"
ENCSR269FMG	liver	green	green	false	false	false	false	green	31465366	15824525	15640841		{}		{}	{}	
ENCSR995FAO	mucosa of descending colon	green	green	false	false	false	false	green	31986919	16105129	15881790		{}		{}	{}	
ENCSR443GRP	endodermal cell	green	green	false	false	false	false	green	34169045	17221162	16947883		{}		{}	{}	
ENCSR881RXX	anterior vena cava	green	green	false	false	false	false	green	20968539	10590010	10378529		{}		{}	{}	
ENCSR944DTY	SEM	green	green	false	false	false	false	green	32445748	16345322	16100426		{}		{}	{}	
ENCSR270EGA	left cardiac atrium	yellow	yellow	false	false	false	false	yellow_low_reads	19301319	9700394	9600925		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 19,301,319 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 19301319}]"
ENCSR368ARY	pulmonary artery	yellow	yellow	false	false	false	false	yellow_low_reads	13504588	6845863	6658725		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 13,504,588 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 13504588}]"
ENCSR521BLL	psoas muscle	yellow	yellow	false	false	false	false	yellow_low_reads	15335413	7639494	7695919		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 15,335,413 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 15335413}]"
ENCSR062QYF	cerebellum	green	green	false	false	false	false	green	47392533	23591993	23800540		{}		{}	{}	
ENCSR526XOQ	NALM6	green	green	false	false	false	false	green	35429854	17752759	17677095		{}		{}	{}	
ENCSR386UFU	peripheral blood mononuclear cell	green	green	false	false	false	false	green	23397558	11792912	11604646		{}		{}	{}	
ENCSR795NHV	peripheral blood mononuclear cell	yellow	yellow	false	false	false	false	yellow_low_reads	10242408	5140752	5101656		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 10,242,408 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 10242408}]"
ENCSR255VLW	jejunum	green	green	false	false	false	false	green	30398980	15334201	15064779		{}		{}	{}	
ENCSR087CGY	ovary	green	green	false	false	false	false	green	42478294	21159777	21318517		{}		{}	{}	
ENCSR374RDU	breast	green	green	false	false	false	false	green	20591463	10287080	10304383		{}		{}	{}	
ENCSR219IHS	A549	red	red	false	false	false	false	red_low_reads	9058417	4575957	4482460		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 9,058,417 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 9058417}]"
ENCSR683YIA	Pfeiffer	green	green	false	false	false	false	green	24923001	12466761	12456240		{}		{}	{}	
ENCSR810UBG	Metastatic Breast Carcinoma in the Ovary	green	green	false	false	false	false	green	26570734	13260645	13310089		{}		{}	{}	
ENCSR959JOB	right ventricle myocardium	green	green	false	false	false	false	green	29199828	14651837	14547991		{}		{}	{}	
ENCSR431OQI	parotid gland	yellow	yellow	false	false	false	false	yellow_low_reads	14416502	7157674	7258828		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 14,416,502 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 14416502}]"
ENCSR353JON	spinal cord	red	red	false	false	false	false	red_low_reads	227292	112859	114433		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 227,292 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 227292}]"
ENCSR374OGG	pancreas	green	green	false	false	false	false	green	31894900	16096336	15798564		{}		{}	{}	
ENCSR528FMA	helper T cell	green	green	false	false	false	false	green	52291759	26238050	26053709		{}		{}	{}	
ENCSR500IHG	breast	green	green	false	false	false	false	green	22204778	11208000	10996778		{}		{}	{}	
ENCSR098LLB	endothelial cell of umbilical vein	green	green	false	false	false	false	green	31274219	15692384	15581835		{}		{}	{}	
ENCSR046BCI	A673	green	green	false	false	false	false	green	36236213	18257871	17978342		{}		{}	{}	
ENCSR935RNW	Calu3	green	green	false	false	false	false	green	46070069	23221800	22848269		{}		{}	{}	
ENCSR799DGV	MCF 10A	green	green	false	false	false	false	green	92403721	46145728	46257993		{}		{}	{}	
ENCSR261KBX	K562	yellow	yellow	false	false	false	false	yellow_low_reads	19110698	9605200	9505498		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 19,110,698 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 19110698}]"
ENCSR100LIJ	Caco-2	green	green	false	false	false	false	green	42563066	21378407	21184659		{}		{}	{}	
