2026-02-04 03:11:02.920147	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2Fc3a4ad2c-3f3a-47e2-8386-13b3f7355ae5%2F&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR961UBB/	ENCSR961UBB	PRO-cap	PRO-cap	tissue				Homo sapiens heart left ventricle tissue female adult (59 years)	heart left ventricle		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Left ventricle of heart.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF196WYZ/,/files/ENCFF522QSY/,/files/ENCFF970ARJ/,/files/ENCFF737ZWY/,/files/ENCFF528GZT/,/files/ENCFF003PRE/,/files/ENCFF965YSB/,/files/ENCFF916LRK/,/files/ENCFF809YUN/,/files/ENCFF782ZJO/,/files/ENCFF968VZF/,/files/ENCFF655LBA/,/files/ENCFF125EBR/,/files/ENCFF652SOY/,/files/ENCFF367UXU/,/files/ENCFF131FTI/,/files/ENCFF889UHG/,/files/ENCFF260LBG/		ENCBS551JNW	1	1,2		Homo sapiens	adult	59 years												/replicates/56e1530b-f527-4e7e-b9a4-7b22c0f9ad38/,/replicates/18da86ee-5e71-4b64-b12b-f49c8f3ee76b/				capped RNA enrichment
/experiments/ENCSR796JNK/	ENCSR796JNK	PRO-cap	PRO-cap	cell line				Homo sapiens LUHMES	LUHMES		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Mesencephalic neuronal cell line.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF479DPK/,/files/ENCFF059NFA/,/files/ENCFF573XVT/,/files/ENCFF738KBJ/,/files/ENCFF414GZW/,/files/ENCFF239QXE/,/files/ENCFF873IGN/,/files/ENCFF656MTB/,/files/ENCFF354QUW/,/files/ENCFF959MFT/,/files/ENCFF028JYM/,/files/ENCFF047KUB/,/files/ENCFF005ANN/,/files/ENCFF656VQQ/,/files/ENCFF276GVF/		ENCBS759ILQ,ENCBS533EME	1,2	1		Homo sapiens	fetal	8 weeks												/replicates/79126c92-8618-48c1-88f0-0b5286d6469b/,/replicates/3141636f-2590-464c-8788-dd0a4728acb3/				capped RNA enrichment
/experiments/ENCSR784YIV/	ENCSR784YIV	PRO-cap	PRO-cap	tissue				Homo sapiens colonic mucosa tissue female adult (41 years)	colonic mucosa		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Colonic mucosa.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF135VSS/,/files/ENCFF677UQG/,/files/ENCFF804JSS/,/files/ENCFF442IBU/,/files/ENCFF128FKP/,/files/ENCFF368DWC/,/files/ENCFF940DPK/,/files/ENCFF690SAO/,/files/ENCFF670TWL/,/files/ENCFF583RWN/,/files/ENCFF664GUU/,/files/ENCFF135RXP/,/files/ENCFF281JZE/,/files/ENCFF641BHY/,/files/ENCFF917MYT/,/files/ENCFF217QAF/,/files/ENCFF997PVK/,/files/ENCFF745WCW/		ENCBS015EAO	1	2,1		Homo sapiens	adult	41 years												/replicates/f2f15647-fcee-4491-a10d-2a43ff83f8ca/,/replicates/7d7b1995-3dea-4597-bb7b-e39e2a164d12/				capped RNA enrichment
/experiments/ENCSR478DAN/	ENCSR478DAN	PRO-cap	PRO-cap	tissue				Homo sapiens upper lobe of left lung tissue female adult (61 years)	upper lobe of left lung		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Upper lobe of left lung.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF069JKZ/,/files/ENCFF947KAG/,/files/ENCFF865ZEO/,/files/ENCFF480SOY/,/files/ENCFF810FBS/,/files/ENCFF728HUH/,/files/ENCFF572VDJ/,/files/ENCFF560KJY/,/files/ENCFF453VFK/,/files/ENCFF699TDW/,/files/ENCFF457QUY/,/files/ENCFF440SLB/,/files/ENCFF781MJM/,/files/ENCFF835BYO/,/files/ENCFF423VFN/,/files/ENCFF639TIL/,/files/ENCFF695EAA/,/files/ENCFF765CWC/		ENCBS559YGN	1	2,1		Homo sapiens	adult	61 years												/replicates/8a823975-e30e-4dfe-af51-c313c140cf2b/,/replicates/acc6bc5c-312a-499d-b6a8-c3e35e53456b/				capped RNA enrichment
/experiments/ENCSR666GXV/	ENCSR666GXV	PRO-cap	PRO-cap	tissue				Homo sapiens Colon Carcinoma Metastatic in the Lung tissue female adult (73 years)	Colon Carcinoma Metastatic in the Lung		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Metastatic colon cancer to lung.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF987AVM/,/files/ENCFF370KAV/,/files/ENCFF151BUK/,/files/ENCFF639HUO/,/files/ENCFF778MOH/,/files/ENCFF353XVZ/,/files/ENCFF304LFN/,/files/ENCFF051BTI/,/files/ENCFF606VQI/		ENCBS575SCX	1	1		Homo sapiens	adult	73 years												/replicates/17f04018-3752-408e-bbb2-73f5573ddfc7/				capped RNA enrichment
/experiments/ENCSR520PUD/	ENCSR520PUD	PRO-cap	PRO-cap	cell line				Homo sapiens HEK293	HEK293		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Embryonic kidney cell line.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF439IEP/,/files/ENCFF278HBY/,/files/ENCFF438MBM/,/files/ENCFF811AMY/,/files/ENCFF953RBC/,/files/ENCFF474ORL/,/files/ENCFF504ANB/,/files/ENCFF417EAH/,/files/ENCFF305ZQS/,/files/ENCFF757CGN/,/files/ENCFF762BKL/,/files/ENCFF367WUV/,/files/ENCFF243HMV/,/files/ENCFF530NVY/,/files/ENCFF387QZO/		ENCBS581ZSV	1	1,2		Homo sapiens	embryonic													/replicates/3a02e9b6-1307-46d2-92c5-38782cddf3e9/,/replicates/930aaf7d-94ae-4239-9d26-a1b13c9cc907/				capped RNA enrichment
/experiments/ENCSR417NJC/	ENCSR417NJC	PRO-cap	PRO-cap	tissue				Homo sapiens spleen tissue female adult (53 years)	spleen		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Spleen.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF040HGZ/,/files/ENCFF436GHF/,/files/ENCFF756ORL/,/files/ENCFF216HPM/,/files/ENCFF587ONL/,/files/ENCFF406WNY/,/files/ENCFF384OWC/,/files/ENCFF747ZLM/,/files/ENCFF909FWJ/,/files/ENCFF527UKF/,/files/ENCFF849WCI/,/files/ENCFF137UCG/,/files/ENCFF158QFB/,/files/ENCFF902OMA/,/files/ENCFF607ASO/,/files/ENCFF815LNX/,/files/ENCFF552GGX/,/files/ENCFF924KKU/		ENCBS208YGD	1	1,2		Homo sapiens	adult	53 years												/replicates/4245a631-0ccb-4fb6-aff9-d54428ee079e/,/replicates/0b20f0d7-f8d5-4302-931b-ebd327d8fcaf/				capped RNA enrichment
/experiments/ENCSR215OJB/	ENCSR215OJB	PRO-cap	PRO-cap	cell line				Homo sapiens GM23338	GM23338		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in PGP-1 iPSCs via Sendai-viral Yamanaka factors.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF446DFS/,/files/ENCFF163JFP/,/files/ENCFF512NSW/,/files/ENCFF753RUY/,/files/ENCFF924VAI/,/files/ENCFF936YJL/,/files/ENCFF086NGD/,/files/ENCFF719TZD/,/files/ENCFF879TIV/,/files/ENCFF137ACV/,/files/ENCFF783ZAB/,/files/ENCFF710SRL/,/files/ENCFF116KQJ/,/files/ENCFF584TDP/,/files/ENCFF612GKS/,/files/ENCFF907EDQ/,/files/ENCFF132GLO/,/files/ENCFF729RDA/,/files/ENCFF426MUR/,/files/ENCFF556DSS/,/files/ENCFF030IJD/,/files/ENCFF930IUB/,/files/ENCFF159MOF/,/files/ENCFF106GTA/,/files/ENCFF260PDH/,/files/ENCFF105FBQ/,/files/ENCFF636JHJ/		ENCBS229TZS,ENCBS958MLZ	1,2	1,2		Homo sapiens	adult	53 years												/replicates/a0bd263e-74ab-4db8-a595-90deacc97efd/,/replicates/ea56f82d-5e07-41ff-9d1c-0d411a8887b3/,/replicates/3bdf549b-0196-4b26-9b6e-e5d3c4dc7440/,/replicates/ee107fee-6236-42f1-b613-72782f5c3d7d/				capped RNA enrichment
/experiments/ENCSR053UMZ/	ENCSR053UMZ	PRO-cap	PRO-cap	tissue				Homo sapiens cerebellum tissue	cerebellum		A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in Cerebellum.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF739SID/,/files/ENCFF994WZP/,/files/ENCFF435LSZ/,/files/ENCFF977AFE/,/files/ENCFF651MHW/,/files/ENCFF624KRI/,/files/ENCFF712AHC/,/files/ENCFF917ZTH/,/files/ENCFF311FGM/,/files/ENCFF803FRQ/,/files/ENCFF481NYL/,/files/ENCFF358FXS/		ENCBS520EZA	1	1		Homo sapiens	unknown													/replicates/6010a7d1-ebca-43e0-8714-bd1319b0d83b/				capped RNA enrichment
/experiments/ENCSR867EQV/	ENCSR867EQV	PRO-cap	PRO-cap	cell line				Homo sapiens HCT116 genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, (insertion) using CRISPR targeting H. sapiens SUPT16H treated with 1 μM 5-Phenyl-1H-indole-3-acetic acid for 6 hours	HCT116	GEO:GSE219848	A run-on assay that precisely maps the transcription start sites genome-wide with high sensitivity and specificity in SUPT16H_T.	Haiyuan Yu, Cornell	ENCODE	released	/files/ENCFF946KXE/,/files/ENCFF645WKA/,/files/ENCFF812OSJ/,/files/ENCFF370ERY/,/files/ENCFF868MTN/,/files/ENCFF776BGM/,/files/ENCFF570DWY/,/files/ENCFF964NOU/,/files/ENCFF324HYV/,/files/ENCFF487PCJ/,/files/ENCFF409KOI/,/files/ENCFF698SLY/,/files/ENCFF190ONS/,/files/ENCFF330HGS/,/files/ENCFF439LDP/,/files/ENCFF825CJL/,/files/ENCFF937XDV/,/files/ENCFF490YHU/,/files/ENCFF065MPR/,/files/ENCFF702DZE/,/files/ENCFF177PKJ/,/files/ENCFF464MTI/,/files/ENCFF812OKN/,/files/ENCFF859AWV/,/files/ENCFF699TWO/	/gene-silencing-series/ENCSR597PBK/	ENCBS093CJI,ENCBS081HJW	1,2	1		Homo sapiens	adult	48 years	5-Phenyl-1H-indole-3-acetic acid		1	μM	6	hour				/organisms/human/	/organisms/rice/	/replicates/f8f851ce-81ea-4568-a3fd-6be95129e69c/,/replicates/926389f8-6b46-4158-9c3b-801f9a59e90b/				capped RNA enrichment
