experiment	biosample	pl_reads	mn_reads	total_reads	profile_jsd	log_counts_pearson
ENCSR932TRR	HCT116	16534624	16316522	32851146	0.3338193765708378	0.750333947794778
ENCSR604EBH	K562	7133512	7066991	14200503	0.32895831550870624	0.6600561482565743
ENCSR124AWE	SUDHL5	9170046	9121455	18291501	0.36606512325150625	0.5489228027207511
ENCSR548GOG	stomach	14233803	13953078	28186881	0.3658313112599509	0.7270939690726144
ENCSR973QQI	ReNcell CX	8793246	8681793	17475039	0.35851200563567026	0.7144058261598859
ENCSR473KVF	HEK293T	30594669	30793702	61388371	0.30333160928317476	0.7451781800815037
ENCSR382HFH	peripheral blood mononuclear cell	10582528	10353550	20936078	0.4253937942641122	0.6527122344289508
ENCSR624CVP	peritoneum	1156851	1123200	2280051	0.4484068240438189	0.5857637013707843
ENCSR575EOB	Metastatic Breast Carcinoma in the Brain	9866497	9624274	19490771	0.3627701359135764	0.6901483876364571
ENCSR701MOE	T-cell	9305776	9164848	18470624	0.3597057206290109	0.5341344262872424
ENCSR657PSE	aorta	4515745	4392855	8908600	0.3796941339969635	0.6559430190495082
ENCSR472ETC	fallopian tube	21885831	21883008	43768839	0.3665451151984079	0.7437004361833844
ENCSR077MAX	tibial nerve	10056889	10104472	20161361	0.35678090367998394	0.6845811860901969
ENCSR426RMA	heart left ventricle	9553430	9459220	19012650	0.37727198004722595	0.7568600603512355
ENCSR489FZB	T-cell	27432493	27321962	54754455	0.4020667331559317	0.6758417061397007
ENCSR683FOJ	mesenteric fat pad	1880710	1848181	3728891	0.38332649213927134	0.5631098747253418
ENCSR683YVU	helper T cell	16771463	16768949	33540412	0.3448296700205122	0.573834125484739
ENCSR574ZMF	ovary	27075701	27295213	54370914	0.3398002215794155	0.7104724219867161
ENCSR245UIS	Karpas-422	4857682	4690543	9548225	0.409642402614866	0.5388074517250061
ENCSR836XBB	rectum	42238114	41486806	83724920	0.3496223177228655	0.7426614420754569
ENCSR526QVD	ureter	10390867	10284852	20675719	0.3619095470224108	0.6835411787033081
ENCSR876AEQ	Metastatic Liver Carcinoma in the Adrenal Gland	7646145	7772784	15418929	0.36099221450941904	0.6237414734704154
ENCSR229XTQ	skeletal muscle tissue	3858395	3754710	7613105	0.34974690846034456	0.6507187059947422
ENCSR659YNL	left lung	17516233	17175232	34691465	0.4187352955341339	0.7975202628544399
ENCSR282IJP	neutrophil	2631412	2579807	5211219	0.402498402765819	0.42435454045023235
ENCSR888DKJ	Metastatic Breast Carcinoma in the Brain	4389130	4357006	8746136	0.35854868377958027	0.6232137509754726
ENCSR754LBG	duodenum	10727656	10479499	21207155	0.3561878374644688	0.693875891821725
ENCSR250REI	peripheral blood mononuclear cell	15523270	15397511	30920781	0.39404877594539095	0.7099657484463283
ENCSR180NBV	Metastatic Breast Carcinoma in the Brain	5187687	5114922	10302609	0.36509352922439575	0.6462163925170898
ENCSR739MOQ	body of pancreas	14797231	14634265	29431496	0.3518545499869755	0.6878138525145394
ENCSR117JKC	trachea	13552409	13339788	26892197	0.3371869112764086	0.7079790830612183
ENCSR008TSD	Metastatic Breast Carcinoma in the Brain	17170487	16776867	33947354	0.33947055680411203	0.7019469652857099
ENCSR723JIC	peripheral blood mononuclear cell	15596966	15387396	30984362	0.43021691271236967	0.6840707319123405
ENCSR980TGS	Metastatic Breast Carcinoma in the Brain	16620442	16451044	33071486	0.36869641286986216	0.7177858097212655
ENCSR083AMN	B cell	24680772	24569438	49250210	0.36378410032817293	0.6561551434653146
ENCSR756TPG	K562	6471366	6274739	12746105	0.4542275922639029	0.5446999073028564
ENCSR089CQL	T-cell	12721332	12442342	25163674	0.3431398059640612	0.5288678577968052
ENCSR294JPW	left ventricle myocardium	14573483	14480743	29054226	0.3550539144447872	0.7043671607971191
ENCSR321WCE	neural crest cell	18358744	18140318	36499062	0.322474296603884	0.6722088711602348
ENCSR357VUN	ovary	42775018	42895612	85670630	0.33849466698510305	0.7242012960570199
ENCSR393PGX	breast epithelium	7273495	7148872	14422367	0.35190260836056303	0.6691594890185765
ENCSR489BCG	pancreas	16751628	16491643	33243271	0.3422642648220062	0.7292262400899615
ENCSR243MVI	liver	3650765	3659345	7310110	0.3807811737060547	0.6050315754754203
ENCSR104MSL	pancreas	8003230	7921625	15924855	0.3996660155909402	0.7359203781400409
ENCSR928ZWP	lower leg skin	16358801	16223756	32582557	0.3580678871699742	0.7362094691821507
ENCSR331UGM	liver	25809699	25873850	51683549	0.37087090952055796	0.6971822806767055
ENCSR149WMX	Metastatic Liver Carcinoma in the Lung	10041076	9983443	20024519	0.356075508253915	0.6790467841284615
ENCSR633OWM	pulmonary lymph node	15908233	15828260	31736493	0.34953089697020395	0.6847850254603794
ENCSR384HWB	ascending aorta	5311053	5191447	10502500	0.3628142178058624	0.5637448515210833
ENCSR347PQY	upper lobe of left lung	9758696	9813768	19572464	0.3571239028658186	0.6251888615744454
ENCSR335ZMZ	OCI-LY7	9604955	9559605	19164560	0.3321339317730495	0.6736065319606236
ENCSR657RPS	uterus	13811824	13782224	27594048	0.35502122555460247	0.7133714812142509
ENCSR149ZRX	K562	5687168	5529695	11216863	0.46453256266457693	0.5291708409786224
ENCSR834OVY	peripheral blood mononuclear cell	14431245	14291395	28722640	0.4274744263717106	0.7053114090647016
ENCSR262PWK	type B pancreatic cell	10415317	10175176	20590493	0.36992053048951284	0.715821521622794
ENCSR300AAD	Metastatic Liver Carcinoma in the Adrenal Gland	5324312	5423378	10747690	0.3692090596471514	0.5820680686405727
ENCSR900SLO	HCT116	19826257	19646586	39472843	0.3010287455150059	0.7225985271590096
ENCSR687HZX	Metastatic Breast Carcinoma in the Brain	25966959	25917864	51884823	0.36509295446532114	0.6986517650740487
ENCSR997YHR	lung	3885366	3770140	7655506	0.39473236884389606	0.6911635909761701
ENCSR744JVA	pancreas	17943314	17609472	35552786	0.374863862991333	0.7542334880147662
ENCSR338WJS	pancreas	16806356	16556327	33362683	0.34548209394727436	0.7094730479376656
ENCSR407CCJ	cerebellum	3358206	3478325	6836531	0.36698744552476065	0.6115276302610125
ENCSR155NVW	penis	11794123	11591903	23386026	0.33764855350766865	0.7263479658535549
ENCSR305RPP	testis	15383610	15368061	30751671	0.34758242538997103	0.777789660862514
ENCSR290MPW	heart left ventricle	14591287	14408222	28999509	0.37491355197770254	0.7032162547111511
ENCSR219NJB	spleen	26839803	27080278	53920081	0.37892651557922363	0.7626015969685146
ENCSR219QKX	heart right ventricle	12176402	12140285	24316687	0.35160653931753977	0.7227992585727147
ENCSR656ZDH	heart left ventricle	15160113	15083411	30243524	0.34276342391967773	0.7338912487030029
ENCSR065NDB	T-cell	14413931	14317643	28731574	0.3455160175051008	0.5925083756446838
ENCSR769SLJ	transverse colon	20451415	20077640	40529055	0.35081756114959717	0.7269941823823112
ENCSR069DQH	cytotoxic T cell	20673261	20577567	41250828	0.388102833713804	0.6404561230114528
ENCSR617JRP	Metastatic Breast Carcinoma in the Ovary	10273763	10205708	20479471	0.367351587329592	0.7070674044745309
ENCSR100PNA	paraaortic lymph node	15472725	15342014	30814739	0.33785176277160645	0.6998625908579145
ENCSR065QHA	left lobe of liver	15221015	15064622	30285637	0.38325975622449604	0.6354952113968986
ENCSR233GRN	bronchus	18464442	18336495	36800937	0.35870892660958426	0.7376727036067418
ENCSR997INZ	right atrium auricular region	18677406	18581491	37258897	0.3674611066068922	0.67548006772995
ENCSR431MXP	thyroid gland	16339496	16181976	32521472	0.352263297353472	0.7326839055333819
ENCSR255MUU	progenitor cell of endocrine pancreas	13854735	13624071	27478806	0.3079011057104383	0.6393792033195496
ENCSR673CJC	Metastatic Lung Carcinoma in the Adrenal Gland	9027296	8942767	17970063	0.33851597564561026	0.6886288693972996
ENCSR946MDO	gastroesophageal sphincter	15912618	15827697	31740315	0.3652671149798802	0.6831781182970319
ENCSR841GXY	monocyte	15293249	14685774	29979023	0.42506938321249826	0.5073887705802917
ENCSR296XBI	T-cell	17096353	16992460	34088813	0.37596501622881207	0.6083382878984723
ENCSR072JHG	liver	15374783	15340261	30715044	0.37010575192315237	0.5949359791619437
