experiment	biosample	pl_reads	mn_reads	total_reads	profile_pearson	profile_jsd	log_counts_pearson	counts_spearman
ENCSR683YIA	Pfeiffer	12466761	12456240	24923001	0.5269503550870078	0.32670627321515766	0.5338061835084643	0.5780649525778634
ENCSR810UBG	Metastatic Breast Carcinoma in the Ovary	13260645	13310089	26570734	0.47572846497808186	0.3665692125047956	0.6695256233215332	0.6783585974148342
ENCSR959JOB	right ventricle myocardium	14651837	14547991	29199828	0.5216075990881238	0.33793927090508596	0.7349799956594195	0.7525458676474435
ENCSR431OQI	parotid gland	7157674	7258828	14416502	0.5056861128125872	0.34289586544036865	0.6086735214505877	0.6299188562801906
ENCSR353JON	spinal cord	112859	114433	227292	0.4578697851725987	0.4362484003816332	0.27227884105273653	0.2590233087539673
ENCSR374OGG	pancreas	16096336	15798564	31894900	0.5245004296302795	0.3353196552821568	0.747234046459198	0.765749854700906
ENCSR528FMA	helper T cell	26238050	26053709	52291759	0.5349716288702828	0.319999886410577	0.6058810268129621	0.624108578477587
ENCSR500IHG	breast	11208000	10996778	22204778	0.5310758522578648	0.33647605776786804	0.7176044668470111	0.733101384980338
ENCSR098LLB	endothelial cell of umbilical vein	15692384	15581835	31274219	0.615758878844125	0.29102894238063265	0.7315496802330017	0.7661269392286029
ENCSR046BCI	A673	18257871	17978342	36236213	0.5586302323000771	0.3277892470359802	0.7368688413075039	0.7567128198487418
ENCSR935RNW	Calu3	23221800	22848269	46070069	0.5832194941384452	0.3014260615621294	0.7297524554388863	0.759022193295615
ENCSR799DGV	MCF 10A	46145728	46257993	92403721	0.5234913315091815	0.3136969123567854	0.7646541254861015	0.7772740466254098
ENCSR261KBX	K562	9605200	9505498	19110698	0.5848557693617684	0.30104432361466543	0.6864268268857684	0.7190083520753043
ENCSR100LIJ	Caco-2	21378407	21184659	42563066	0.608402396951403	0.28538092970848083	0.748091561453683	0.7741190450532096
